track,name,corrected_hsec,submitted_on,visibility
ZCT186,"Shoegazing Leo",11866,"2017-01-18 22:09:00",public
ZCT186,"Shoegazing Leo",9660,"2017-01-18 22:15:00",public
ZCT186,"Alan Rotoi",8448,"2017-01-18 22:16:00",public
ZCT186,"Shoegazing Leo",8276,"2017-01-18 22:22:00",public
ZCT186,"Shoegazing Leo",8231,"2017-01-18 22:30:00",public
ZCT186,Cas,8096,"2017-01-19 01:28:00",public
ZCT186,Duplode,7489,"2017-01-19 05:58:00",public
ZCT186,dreadnaut,8197,"2017-01-19 20:34:00",public
ZCT186,"Zak McKracken",7620,"2017-01-19 22:58:00",public
ZCT186,afullo,10174,"2017-01-22 14:28:00",public
ZCT186,dreadnaut,8003,"2017-01-29 18:05:00",public
ZCT186,Cas,8407,"2017-01-29 18:06:00",public
ZCT186,Cas,8678,"2017-01-29 18:13:00",public
ZCT186,Cas,7980,"2017-01-29 18:42:00",public
ZCT186,Cas,7961,"2017-01-29 18:46:00",public
ZCT186,Cas,7879,"2017-01-29 18:53:00",public
ZCT186,"Shoegazing Leo",8228,"2017-01-30 02:42:00",public
ZCT186,MOE,7804,"2017-01-30 13:35:00",public
ZCT186,dosbox92,8025,"2017-01-31 12:37:00",public
ZCT186,dosbox92,7616,"2017-01-31 12:37:00",public
ZCT186,dosbox92,8003,"2017-01-31 13:04:00",public
ZCT186,dosbox92,7564,"2017-01-31 13:38:00",public
ZCT186,dosbox92,7560,"2017-01-31 13:42:00",public
ZCT186,Imperas,8168,"2017-01-31 15:35:00",public
ZCT186,Imperas,7950,"2017-01-31 15:35:00",public
ZCT186,FinRok,7313,"2017-02-01 10:27:00",public
ZCT186,dosbox92,7541,"2017-02-01 17:16:00",public
ZCT186,dosbox92,7493,"2017-02-01 18:10:00",public
ZCT186,FinRok,7207,"2017-02-03 15:42:00",normal
ZCT186,dreadnaut,7830,"2017-02-16 23:59:00",normal
ZCT186,dreadnaut,7451,"2017-02-16 23:59:00",quiet
ZCT186,FinRok,6982,"2017-02-17 00:15:00",quiet
ZCT186,FinRok,7181,"2017-02-17 00:16:00",normal
ZCT186,"Alan Rotoi",7166,"2017-02-17 08:49:00",quiet
ZCT186,Duplode,7241,"2017-02-18 17:01:00",normal
ZCT186,Duplode,7185,"2017-02-18 17:06:00",normal
ZCT186,Duplode,7129,"2017-02-18 17:15:00",normal
ZCT186,Friker,7043,"2017-02-18 20:14:00",quiet
ZCT187,"Alan Rotoi",6404,"2017-02-22 21:38:00",public
ZCT187,"Shoegazing Leo",9352,"2017-02-22 21:45:00",public
ZCT187,"Shoegazing Leo",7530,"2017-02-22 21:48:00",public
ZCT187,"Shoegazing Leo",7520,"2017-02-22 21:51:00",public
ZCT187,"Shoegazing Leo",6769,"2017-02-22 21:55:00",public
ZCT187,Cas,6971,"2017-02-23 00:31:00",public
ZCT187,dreadnaut,6866,"2017-02-23 21:38:00",public
ZCT187,dreadnaut,6199,"2017-02-23 22:06:00",public
ZCT187,"Zak McKracken",5803,"2017-02-23 23:46:00",public
ZCT187,dreadnaut,5800,"2017-02-25 13:35:00",public
ZCT187,Imperas,7216,"2017-02-25 15:49:00",public
ZCT187,afullo,8522,"2017-02-25 15:52:00",public
ZCT187,Imperas,7154,"2017-02-25 15:53:00",public
ZCT187,Imperas,7145,"2017-02-25 16:14:00",public
ZCT187,Imperas,6940,"2017-02-25 16:41:00",public
ZCT187,Imperas,6641,"2017-02-25 17:20:00",public
ZCT187,Imperas,6592,"2017-02-25 17:31:00",public
ZCT187,Imperas,6364,"2017-02-25 17:41:00",public
ZCT187,Imperas,6361,"2017-02-25 17:50:00",public
ZCT187,Imperas,6341,"2017-02-25 17:53:00",public
ZCT187,Imperas,6296,"2017-02-25 22:07:00",public
ZCT187,Imperas,6276,"2017-02-25 22:30:00",public
ZCT187,Imperas,6267,"2017-02-25 22:36:00",public
ZCT187,Imperas,6264,"2017-02-25 22:50:00",public
ZCT187,Imperas,6219,"2017-02-25 23:21:00",public
ZCT187,Imperas,6216,"2017-02-25 23:24:00",public
ZCT187,Imperas,6213,"2017-02-25 23:34:00",public
ZCT187,Imperas,6207,"2017-02-27 10:25:00",public
ZCT187,Imperas,6108,"2017-02-27 14:06:00",public
ZCT187,Imperas,5996,"2017-02-27 17:20:00",public
ZCT187,Imperas,5965,"2017-02-27 17:44:00",public
ZCT187,Imperas,5922,"2017-02-27 18:10:00",public
ZCT187,Imperas,5834,"2017-02-28 11:11:00",public
ZCT187,Imperas,5885,"2017-02-28 11:23:00",public
ZCT187,Imperas,5791,"2017-02-28 16:41:00",public
ZCT187,Friker,5777,"2017-02-28 19:52:00",public
ZCT187,dreadnaut,5734,"2017-02-28 22:53:00",public
ZCT187,Friker,5731,"2017-02-28 23:47:00",public
ZCT187,FinRok,6035,"2017-03-01 06:58:00",public
ZCT187,FinRok,8031,"2017-03-03 05:44:00",public
ZCT187,dreadnaut,5726,"2017-03-03 22:40:00",public
ZCT187,Cas,6700,"2017-03-04 21:24:00",public
ZCT187,arturbmallmann,8366,"2017-03-05 01:43:00",public
ZCT187,arturbmallmann,7792,"2017-03-05 01:46:00",public
ZCT187,arturbmallmann,9243,"2017-03-05 01:53:00",public
ZCT187,arturbmallmann,9554,"2017-03-05 02:35:00",public
ZCT187,Duplode,6100,"2017-03-05 04:01:00",public
ZCT187,arturbmallmann,6789,"2017-03-05 15:28:00",public
ZCT187,FinRok,5492,"2017-03-06 00:36:00",normal
ZCT187,arturbmallmann,7476,"2017-03-06 13:44:00",public
ZCT187,Imperas,7173,"2017-03-06 14:24:00",public
ZCT187,Imperas,7020,"2017-03-06 15:09:00",public
ZCT187,Friker,5663,"2017-03-06 18:54:00",normal
ZCT187,Friker,5486,"2017-03-06 23:50:00",normal
ZCT187,FinRok,5463,"2017-03-07 00:04:00",normal
ZCT187,Friker,5458,"2017-03-08 00:57:00",normal
ZCT187,FinRok,7139,"2017-03-10 13:40:00",public
ZCT187,FinRok,5415,"2017-03-10 13:45:00",normal
ZCT187,Friker,5409,"2017-03-10 17:54:00",normal
ZCT187,arturbmallmann,6740,"2017-03-11 05:38:00",public
