track,name,corrected_hsec,submitted_on,visibility
ZCT162,dreadnaut,8020,"2015-01-18 02:08:00",public
ZCT162,"Akoss Poo",6828,"2015-01-18 10:02:00",public
ZCT162,"Akoss Poo",6322,"2015-01-18 11:04:00",public
ZCT162,"Zak McKracken",6638,"2015-01-18 11:22:00",public
ZCT162,AbuRaf70,7813,"2015-01-18 16:12:00",public
ZCT162,"Shoegazing Leo",7598,"2015-01-18 16:12:00",public
ZCT162,"Shoegazing Leo",9868,"2015-01-18 16:19:00",public
ZCT162,"Shoegazing Leo",10094,"2015-01-18 16:25:00",public
ZCT162,"Shoegazing Leo",10781,"2015-01-18 16:30:00",public
ZCT162,"Shoegazing Leo",8803,"2015-01-18 16:35:00",public
ZCT162,"Shoegazing Leo",7266,"2015-01-18 16:46:00",public
ZCT162,"Shoegazing Leo",9945,"2015-01-18 16:56:00",public
ZCT162,"Shoegazing Leo",7057,"2015-01-18 17:11:00",public
ZCT162,AbuRaf70,6732,"2015-01-18 17:26:00",public
ZCT162,"Shoegazing Leo",9795,"2015-01-18 20:58:00",public
ZCT162,"Shoegazing Leo",7026,"2015-01-19 02:30:00",public
ZCT162,"Akoss Poo",5979,"2015-01-19 13:37:00",public
ZCT162,"Shoegazing Leo",6806,"2015-01-19 19:17:00",public
ZCT162,dreadnaut,7569,"2015-01-19 23:04:00",public
ZCT162,dreadnaut,7029,"2015-01-19 23:12:00",public
ZCT162,AbuRaf70,6529,"2015-01-20 23:24:00",public
ZCT162,"Shoegazing Leo",8557,"2015-01-21 02:13:00",public
ZCT162,"Shoegazing Leo",6735,"2015-01-21 02:26:00",public
ZCT162,afullo,8316,"2015-01-21 15:22:00",public
ZCT162,"Shoegazing Leo",6721,"2015-01-22 00:58:00",public
ZCT162,Marco,7565,"2015-01-23 12:54:00",public
ZCT162,Marco,6262,"2015-01-23 16:13:00",public
ZCT162,Marco,6185,"2015-01-23 16:51:00",public
ZCT162,"Shoegazing Leo",6718,"2015-01-23 20:12:00",public
ZCT162,"Shoegazing Leo",6707,"2015-01-23 20:13:00",public
ZCT162,"Shoegazing Leo",6699,"2015-01-23 20:15:00",public
ZCT162,Marco,6138,"2015-01-23 23:04:00",public
ZCT162,"Shoegazing Leo",6696,"2015-01-23 23:25:00",public
ZCT162,"Shoegazing Leo",6694,"2015-01-23 23:30:00",public
ZCT162,CTG,6039,"2015-01-24 10:15:00",public
ZCT162,CTG,5976,"2015-01-24 10:23:00",public
ZCT162,CTG,5899,"2015-01-24 10:26:00",public
ZCT162,dreadnaut,6884,"2015-01-24 11:33:00",public
ZCT162,dreadnaut,6614,"2015-01-24 11:42:00",public
ZCT162,dreadnaut,6300,"2015-01-24 11:56:00",public
ZCT162,"Shoegazing Leo",6685,"2015-01-24 21:57:00",public
ZCT162,"Shoegazing Leo",6683,"2015-01-24 22:10:00",public
ZCT162,Duplode,5805,"2015-01-24 22:52:00",public
ZCT162,AbuRaf70,6471,"2015-01-25 16:10:00",public
ZCT162,"Akoss Poo",5789,"2015-01-25 18:51:00",public
ZCT162,"Shoegazing Leo",6600,"2015-01-25 19:39:00",public
ZCT162,CTG,5786,"2015-01-25 19:54:00",public
ZCT162,"Shoegazing Leo",6474,"2015-01-25 19:55:00",public
ZCT162,"Shoegazing Leo",6460,"2015-01-25 19:57:00",public
ZCT162,CTG,5783,"2015-01-25 22:41:00",public
ZCT162,CTG,5772,"2015-01-25 22:47:00",public
ZCT162,"Shoegazing Leo",6399,"2015-01-29 01:18:00",public
ZCT162,CTG,5770,"2015-01-31 12:58:00",public
ZCT162,dstien,6361,"2015-01-31 17:17:00",public
ZCT162,Duplode,5456,"2015-01-31 21:36:00",public
ZCT162,"Shoegazing Leo",6372,"2015-01-31 21:50:00",public
ZCT162,"Shoegazing Leo",6361,"2015-01-31 21:52:00",public
ZCT162,AbuRaf70,6355,"2015-01-31 23:55:00",public
ZCT162,CTG,5720,"2015-02-01 11:52:00",normal
ZCT162,CTG,5451,"2015-02-01 14:15:00",normal
ZCT162,CTG,5395,"2015-02-01 14:20:00",normal
ZCT162,CTG,5387,"2015-02-01 21:42:00",normal
ZCT162,dreadnaut,6067,"2015-02-01 21:56:00",normal
ZCT162,"Akoss Poo",5588,"2015-02-02 15:07:00",normal
ZCT162,"Shoegazing Leo",6350,"2015-02-06 22:04:00",normal
ZCT162,"Shoegazing Leo",6298,"2015-02-06 22:13:00",normal
ZCT162,Duplode,5338,"2015-02-07 01:05:00",normal
ZCT162,Marco,6047,"2015-02-07 17:56:00",public
ZCT162,gtament,8825,"2015-02-08 20:28:00",public
ZCT162,"Zak McKracken",5544,"2015-02-10 21:07:00",normal
ZCT162,CTG,5332,"2015-02-10 21:58:00",normal
ZCT162,CTG,5299,"2015-02-11 18:50:00",normal
ZCT162,Usrin,6124,"2015-02-12 00:57:00",normal
ZCT162,AbuRaf70,6265,"2015-02-12 16:03:00",normal
ZCT162,Usrin,5965,"2015-02-13 00:02:00",quiet
ZCT162,Usrin,5926,"2015-02-13 00:02:00",quiet
ZCT162,afullo,8071,"2015-02-13 01:04:00",quiet
ZCT162,"Shoegazing Leo",6273,"2015-02-13 02:47:00",quiet
ZCT162,"Akoss Poo",5519,"2015-02-13 16:31:00",normal
ZCT162,"Akoss Poo",5379,"2015-02-13 16:32:00",quiet
ZCT162,"Akoss Poo",5338,"2015-02-13 19:32:00",quiet
ZCT162,"Alan Rotoi",5968,"2015-02-14 00:11:00",normal
ZCT162,"Shoegazing Leo",6267,"2015-02-14 01:36:00",quiet
ZCT162,"Shoegazing Leo",6259,"2015-02-14 01:45:00",quiet
ZCT162,Duplode,5233,"2015-02-14 03:44:00",quiet
ZCT162,CTG,5294,"2015-02-14 12:36:00",normal
ZCT162,Marco,6045,"2015-02-14 13:11:00",public
ZCT162,CTG,5264,"2015-02-14 18:04:00",normal
ZCT162,dstien,6212,"2015-02-14 18:48:00",quiet
ZCT162,kahdra,8003,"2015-02-14 21:18:00",normal
ZCT162,"Alan Rotoi",5500,"2015-02-14 22:27:00",quiet
ZCT162,"Alan Rotoi",5489,"2015-02-14 22:30:00",quiet
ZCT162,Duplode,5222,"2015-02-14 22:39:00",quiet
ZCT162,CTG,5261,"2015-02-14 22:47:00",normal
ZCT162,CTG,5255,"2015-02-14 22:49:00",quiet
ZCT162,Duplode,5220,"2015-02-14 22:56:00",quiet
ZCT162,CTG,5255,"2015-02-14 23:19:00",normal
ZCT162,CTG,5241,"2015-02-14 23:47:00",normal
ZCT163,"Shoegazing Leo",10089,"2015-02-15 22:51:00",public
ZCT163,"Shoegazing Leo",9721,"2015-02-15 22:55:00",public
ZCT163,"Akoss Poo",6600,"2015-02-15 22:57:00",public
ZCT163,"Shoegazing Leo",9873,"2015-02-15 23:02:00",public
ZCT163,Duplode,6111,"2015-02-15 23:08:00",public
ZCT163,"Shoegazing Leo",8286,"2015-02-15 23:10:00",public
ZCT163,"Shoegazing Leo",8336,"2015-02-15 23:19:00",public
ZCT163,"Shoegazing Leo",8077,"2015-02-15 23:26:00",public
ZCT163,"Shoegazing Leo",6980,"2015-02-15 23:32:00",public
ZCT163,Marco,7518,"2015-02-15 23:40:00",public
ZCT163,Marco,6521,"2015-02-16 00:01:00",public
ZCT163,dstien,6312,"2015-02-16 00:03:00",public
ZCT163,Marco,6004,"2015-02-16 00:32:00",public
ZCT163,"Alan Rotoi",18061,"2015-02-16 04:43:00",public
ZCT163,"Akoss Poo",6589,"2015-02-16 08:42:00",public
ZCT163,"Akoss Poo",5637,"2015-02-16 08:55:00",public
ZCT163,AbuRaf70,6608,"2015-02-16 14:56:00",public
ZCT163,Duplode,5834,"2015-02-16 17:06:00",public
ZCT163,AbuRaf70,6292,"2015-02-16 17:11:00",public
ZCT163,CTG,6534,"2015-02-16 18:41:00",public
ZCT163,CTG,6151,"2015-02-16 18:57:00",public
ZCT163,CTG,5731,"2015-02-16 19:04:00",public
ZCT163,CTG,5633,"2015-02-16 19:21:00",public
ZCT163,CTG,5597,"2015-02-16 19:27:00",public
ZCT163,"Akoss Poo",5566,"2015-02-16 20:11:00",public
