track,name,corrected_hsec,submitted_on,visibility
ZCT258,Overdrijf,6290,"2023-01-15 16:25:30",public
ZCT258,dreadnaut,5301,"2023-01-15 17:15:05",public
ZCT258,Duplode,6547,"2023-01-15 18:12:45",public
ZCT258,Frieshansen,6192,"2023-01-15 18:25:22",public
ZCT258,"Alan Rotoi",6437,"2023-01-15 19:47:02",public
ZCT258,Frieshansen,5231,"2023-01-15 20:10:57",public
ZCT258,Cas,7009,"2023-01-15 20:19:55",public
ZCT258,Cas,6673,"2023-01-15 20:23:23",public
ZCT258,Cas,6133,"2023-01-15 20:27:11",public
ZCT258,Duplode,6396,"2023-01-15 20:40:41",public
ZCT258,Duplode,5972,"2023-01-15 21:59:08",public
ZCT258,Cas,7109,"2023-01-15 22:10:54",public
ZCT258,Daniel3D,7408,"2023-01-15 22:48:10",public
ZCT258,Argammon,5148,"2023-01-15 22:52:27",public
ZCT258,"Alan Rotoi",5912,"2023-01-15 23:16:56",public
ZCT258,"Alan Rotoi",5125,"2023-01-16 00:01:30",public
ZCT258,Duplode,6279,"2023-01-16 00:21:53",public
ZCT258,"Alan Rotoi",6341,"2023-01-16 00:31:06",public
ZCT258,Argammon,5096,"2023-01-16 08:03:56",public
ZCT258,"Alan Rotoi",5057,"2023-01-16 11:50:16",public
ZCT258,Argammon,5054,"2023-01-16 11:57:11",public
ZCT258,"Alan Rotoi",5011,"2023-01-16 12:18:13",public
ZCT258,Argammon,5008,"2023-01-16 12:27:23",public
ZCT258,"Alan Rotoi",4980,"2023-01-16 13:39:09",public
ZCT258,Argammon,4976,"2023-01-16 13:54:01",public
ZCT258,"Alan Rotoi",4957,"2023-01-16 14:04:00",public
ZCT258,Zapper,6149,"2023-01-16 18:27:51",public
ZCT258,dreadnaut,6017,"2023-01-16 19:19:56",public
ZCT258,Zapper,5808,"2023-01-16 19:48:14",public
ZCT258,Duplode,4946,"2023-01-16 22:29:59",public
ZCT258,afullo,7319,"2023-01-16 22:42:57",public
ZCT258,"Alan Rotoi",4916,"2023-01-17 01:28:29",public
ZCT258,Argammon,4956,"2023-01-17 09:28:04",public
ZCT258,Argammon,4890,"2023-01-17 11:37:45",public
ZCT258,Cas,6859,"2023-01-17 16:29:45",public
ZCT258,Cas,6662,"2023-01-17 16:36:49",public
ZCT258,"Alan Rotoi",6263,"2023-01-18 14:37:12",public
ZCT258,"Alan Rotoi",6739,"2023-01-18 14:46:35",public
ZCT258,KyLiE,5141,"2023-01-18 16:32:28",public
ZCT258,"Shoegazing Leo",6991,"2023-01-19 00:33:50",public
ZCT258,"Shoegazing Leo",6925,"2023-01-19 00:37:15",public
ZCT258,"Shoegazing Leo",6961,"2023-01-19 00:40:52",public
ZCT258,"Shoegazing Leo",6402,"2023-01-19 00:44:18",public
ZCT258,Cas,6050,"2023-01-20 19:42:15",public
ZCT258,Frieshansen,5156,"2023-01-21 17:32:39",public
ZCT258,Frieshansen,6082,"2023-01-21 17:54:13",public
ZCT258,Frieshansen,6647,"2023-01-21 18:09:31",public
ZCT258,afullo,6362,"2023-01-22 13:11:11",public
ZCT258,dreadnaut,6147,"2023-01-22 16:03:48",public
ZCT258,"Erik Barros",6266,"2023-01-23 04:01:51",public
ZCT258,Overdrijf,5269,"2023-01-23 13:16:08",public
ZCT258,Overdrijf,5151,"2023-01-23 13:32:56",public
ZCT258,Frieshansen,5104,"2023-01-24 20:43:05",public
ZCT258,"Erik Barros",5501,"2023-01-25 03:04:28",public
ZCT258,Zapper,5640,"2023-01-26 01:49:14",normal
ZCT258,Zapper,5550,"2023-01-26 02:05:13",normal
ZCT258,Zapper,5135,"2023-01-26 02:10:42",normal
ZCT258,Zapper,5164,"2023-01-26 02:24:10",normal
ZCT258,Zapper,5093,"2023-01-26 02:54:47",normal
ZCT258,"Alan Rotoi",4871,"2023-01-26 03:47:06",normal
ZCT258,Argammon,4864,"2023-01-26 07:15:31",normal
ZCT258,Argammon,5710,"2023-01-26 07:16:30",normal
ZCT258,"Alan Rotoi",4822,"2023-01-26 12:05:48",normal
ZCT258,Argammon,4815,"2023-01-26 13:03:22",normal
ZCT258,"Alan Rotoi",4789,"2023-01-26 14:24:11",normal
ZCT258,dreadnaut,5081,"2023-01-26 21:24:34",normal
ZCT258,dreadnaut,6439,"2023-01-26 21:29:47",normal
ZCT258,Duplode,6163,"2023-01-27 00:02:19",normal
ZCT258,Frieshansen,5610,"2023-01-27 19:50:52",normal
ZCT258,Duplode,6277,"2023-01-27 22:44:17",normal
ZCT258,"Erik Barros",6615,"2023-01-27 23:17:05",normal
ZCT258,Argammon,5652,"2023-01-28 12:03:42",normal
ZCT258,Argammon,4785,"2023-01-28 16:50:04",normal
ZCT258,Cas,5644,"2023-01-28 18:41:14",normal
ZCT258,Cas,5460,"2023-01-28 18:46:48",normal
ZCT258,"Erik Barros",5489,"2023-01-28 19:08:18",normal
ZCT258,"Erik Barros",5460,"2023-01-28 19:15:55",normal
ZCT258,Duplode,5648,"2023-01-28 20:11:42",normal
ZCT258,Duplode,5992,"2023-01-28 20:37:07",normal
ZCT258,Duplode,5495,"2023-01-28 21:03:58",normal
ZCT258,Shorty,7718,"2023-01-29 00:20:54",normal
ZCT258,"Alan Rotoi",4770,"2023-01-29 02:55:46",normal
ZCT258,Argammon,4766,"2023-01-29 10:16:25",normal
ZCT258,Duplode,5530,"2023-01-29 12:43:55",normal
ZCT258,"Stan 286XT",8610,"2023-01-29 20:57:01",public
ZCT258,"Stan 286XT",6908,"2023-01-29 21:54:11",normal
ZCT258,dreadnaut,5858,"2023-01-31 21:16:35",normal
ZCT258,dreadnaut,6300,"2023-01-31 21:55:19",normal
ZCT258,Duplode,4759,"2023-02-02 12:05:13",normal
ZCT258,Argammon,4755,"2023-02-02 12:52:27",normal
ZCT258,Zapper,5882,"2023-02-02 13:04:57",normal
ZCT258,"Mark Nailwood",5122,"2023-02-03 00:44:41",public
ZCT258,Duplode,4751,"2023-02-03 01:48:55",normal
ZCT258,"Stan 286XT",6030,"2023-02-04 07:16:57",normal
ZCT258,"Mark Nailwood",5044,"2023-02-05 01:57:25",public
ZCT258,afullo,5636,"2023-02-06 20:21:53",normal
ZCT258,afullo,6815,"2023-02-06 20:56:09",normal
ZCT258,afullo,6432,"2023-02-06 21:00:26",normal
ZCT258,afullo,6520,"2023-02-06 21:08:40",normal
ZCT258,afullo,7229,"2023-02-06 21:12:05",normal
ZCT258,afullo,6677,"2023-02-06 21:16:10",normal
ZCT258,afullo,6557,"2023-02-06 22:37:26",normal
ZCT258,afullo,5716,"2023-02-06 22:43:08",normal
ZCT258,afullo,5782,"2023-02-06 22:49:37",normal
ZCT258,afullo,6787,"2023-02-06 23:03:28",normal
ZCT258,Friker,6345,"2023-02-07 20:24:32",normal
ZCT258,Friker,6842,"2023-02-07 20:29:19",normal
ZCT258,Friker,6878,"2023-02-07 20:35:05",normal
ZCT258,Friker,5393,"2023-02-07 20:52:59",normal
ZCT258,Heretic,5430,"2023-02-08 13:20:55",normal
ZCT258,Friker,5235,"2023-02-08 17:58:45",normal
ZCT258,Friker,5201,"2023-02-08 18:25:34",normal
ZCT258,Heretic,5366,"2023-02-08 19:42:19",normal
ZCT258,Argammon,5556,"2023-02-09 18:23:06",normal
ZCT258,Argammon,5516,"2023-02-09 18:25:43",normal
ZCT258,Overdrijf,5786,"2023-02-09 22:06:40",normal
ZCT258,Duplode,5480,"2023-02-10 00:15:09",normal
ZCT258,Friker,4886,"2023-02-10 00:16:47",quiet
ZCT258,Duplode,4732,"2023-02-10 00:18:21",quiet
ZCT258,Overdrijf,4939,"2023-02-10 00:31:22",quiet
ZCT258,Duplode,6283,"2023-02-10 01:31:25",normal
ZCT258,KyLiE,4901,"2023-02-10 02:10:23",quiet
ZCT258,"Erik Barros",5220,"2023-02-10 02:21:50",quiet
ZCT258,Ryoma,5257,"2023-02-10 06:56:23",quiet
ZCT258,Ryoma,5129,"2023-02-10 06:56:39",quiet
ZCT258,Ryoma,6386,"2023-02-10 06:57:05",quiet
ZCT258,Ryoma,6380,"2023-02-10 06:57:23",quiet
ZCT258,Ryoma,6613,"2023-02-10 06:57:51",quiet
ZCT258,Ryoma,6111,"2023-02-10 06:58:09",quiet
ZCT258,Ryoma,7077,"2023-02-10 06:58:34",public
ZCT258,Ryoma,6428,"2023-02-10 08:15:35",quiet
ZCT258,Argammon,4725,"2023-02-10 13:24:52",quiet
ZCT258,Argammon,5436,"2023-02-10 13:48:20",quiet
