track,name,corrected_hsec,submitted_on,visibility
ZCT174,"Zak McKracken",7494,"2016-01-16 13:45:00",public
ZCT174,"Alan Rotoi",7895,"2016-01-16 15:46:00",public
ZCT174,AbuRaf70,11966,"2016-01-16 17:00:00",public
ZCT174,dhoine,10570,"2016-01-16 17:12:00",public
ZCT174,"Shoegazing Leo",13714,"2016-01-17 00:17:00",public
ZCT174,"Shoegazing Leo",13211,"2016-01-17 00:21:00",public
ZCT174,"Shoegazing Leo",12598,"2016-01-17 00:25:00",public
ZCT174,"Shoegazing Leo",14039,"2016-01-17 00:34:00",public
ZCT174,"Shoegazing Leo",13675,"2016-01-17 01:05:00",public
ZCT174,"Shoegazing Leo",10026,"2016-01-17 01:09:00",public
ZCT174,"Shoegazing Leo",8626,"2016-01-17 01:14:00",public
ZCT174,AbuRaf70,9030,"2016-01-17 14:48:00",public
ZCT174,AbuRaf70,8225,"2016-01-18 03:21:00",public
ZCT174,"Shoegazing Leo",8595,"2016-01-18 13:52:00",public
ZCT174,"Shoegazing Leo",8299,"2016-01-18 14:00:00",public
ZCT174,dhoine,8497,"2016-01-18 18:43:00",public
ZCT174,Duplode,8954,"2016-01-19 00:10:00",public
ZCT174,afullo,9523,"2016-01-19 01:00:00",public
ZCT174,AbuRaf70,8017,"2016-01-19 21:04:00",public
ZCT174,Marco,7337,"2016-01-24 22:44:00",public
ZCT174,Marco,7201,"2016-01-25 17:44:00",public
ZCT174,dreadnaut,8429,"2016-01-30 23:57:00",public
ZCT174,AbuRaf70,7803,"2016-02-01 15:52:00",normal
ZCT174,Duplode,7069,"2016-02-02 05:58:00",normal
ZCT174,dreadnaut,7793,"2016-02-04 23:20:00",normal
ZCT174,AbuRaf70,7745,"2016-02-06 22:14:00",normal
ZCT174,dreadnaut,7585,"2016-02-08 20:44:00",normal
ZCT174,Friker,13816,"2016-02-09 15:23:00",normal
ZCT174,Friker,7851,"2016-02-09 15:41:00",normal
ZCT174,Friker,7194,"2016-02-11 11:56:00",normal
ZCT174,dstien,8231,"2016-02-11 21:52:00",normal
ZCT174,Friker,6606,"2016-02-12 13:09:00",quiet
ZCT174,AbuRaf70,7732,"2016-02-12 16:00:00",normal
ZCT174,"Shoegazing Leo",8276,"2016-02-12 17:26:00",quiet
ZCT174,"Shoegazing Leo",8221,"2016-02-12 17:29:00",quiet
ZCT174,"Renato Biker",8949,"2016-02-12 17:49:00",normal
ZCT174,Marco,7011,"2016-02-12 17:53:00",quiet
ZCT174,"Renato Biker",7626,"2016-02-12 18:14:00",normal
ZCT174,"Renato Biker",7069,"2016-02-12 19:20:00",normal
ZCT174,"Renato Biker",6436,"2016-02-13 04:10:00",quiet
ZCT174,AbuRaf70,7728,"2016-02-13 15:21:00",normal
ZCT174,"Zak McKracken",7188,"2016-02-13 15:34:00",normal
ZCT175,"Shoegazing Leo",11468,"2016-02-14 17:30:00",public
ZCT175,"Shoegazing Leo",11119,"2016-02-14 17:34:00",public
ZCT175,"Shoegazing Leo",7852,"2016-02-14 17:39:00",public
ZCT175,dreadnaut,7048,"2016-02-14 17:48:00",public
