track,name,corrected_hsec,submitted_on,visibility
ZCT222,"Stan 286XT",18360,"2020-01-13 09:05:01",public
ZCT222,Overdrijf,12788,"2020-01-13 12:56:24",public
ZCT222,afullo,15925,"2020-01-13 15:41:17",public
ZCT222,afullo,11776,"2020-01-13 15:51:28",public
ZCT222,dreadnaut,11021,"2020-01-13 19:55:26",public
ZCT222,"Stan 286XT",17194,"2020-01-14 18:26:08",public
ZCT222,sd4000,11914,"2020-01-14 19:53:51",public
ZCT222,"Stan 286XT",16541,"2020-01-14 20:28:37",public
ZCT222,"Stan 286XT",17846,"2020-01-14 21:10:46",public
ZCT222,Cas,12465,"2020-01-18 07:45:32",public
ZCT222,"Shoegazing Leo",18478,"2020-01-19 01:59:01",public
ZCT222,"Shoegazing Leo",13358,"2020-01-19 02:08:37",public
ZCT222,"Shoegazing Leo",13902,"2020-01-19 02:12:37",public
ZCT222,"Shoegazing Leo",13609,"2020-01-19 02:18:07",public
ZCT222,"Shoegazing Leo",14272,"2020-01-19 02:24:49",public
ZCT222,"Shoegazing Leo",11316,"2020-01-19 02:30:45",public
ZCT222,dreadnaut,10637,"2020-01-19 15:29:18",public
ZCT222,dreadnaut,12773,"2020-01-19 15:38:42",public
ZCT222,Stingray86,15318,"2020-01-20 12:27:48",public
ZCT222,KaoS,10971,"2020-01-20 15:55:54",public
ZCT222,sd4000,12120,"2020-01-20 17:12:00",public
ZCT222,Stingray86,10627,"2020-01-21 10:45:56",public
ZCT222,Stingray86,11140,"2020-01-21 11:20:48",public
ZCT222,dreadnaut,10594,"2020-01-21 21:25:57",public
ZCT222,afullo,11337,"2020-01-22 18:20:31",public
ZCT222,KaoS,11182,"2020-01-25 17:17:23",public
ZCT222,dreadnaut,10170,"2020-01-29 22:25:57",normal
ZCT222,afullo,10933,"2020-02-02 13:00:34",normal
ZCT222,Seeker1982,10923,"2020-02-02 20:13:14",public
ZCT222,Seeker1982,10761,"2020-02-02 20:34:11",public
ZCT222,Heretic,10333,"2020-02-04 13:13:07",public
ZCT222,Seeker1982,11036,"2020-02-04 19:20:13",normal
ZCT222,Seeker1982,10880,"2020-02-04 19:26:55",normal
ZCT222,Seeker1982,9632,"2020-02-04 19:36:52",normal
ZCT222,Stingray86,9908,"2020-02-06 11:42:56",normal
ZCT222,Heretic,10260,"2020-02-06 13:21:12",normal
ZCT222,Heretic,10029,"2020-02-06 13:39:43",normal
ZCT222,Seeker1982,10402,"2020-02-06 20:58:04",public
ZCT222,Seeker1982,10791,"2020-02-06 21:29:17",normal
ZCT222,Seeker1982,10574,"2020-02-06 22:33:20",normal
ZCT222,afullo,10589,"2020-02-07 00:16:02",quiet
ZCT222,satanziege,15511,"2020-02-07 00:26:20",normal
ZCT222,Heretic,9960,"2020-02-07 14:08:57",normal
ZCT222,Seeker1982,9387,"2020-02-07 17:28:45",quiet
ZCT222,Overdrijf,9470,"2020-02-07 21:02:50",normal
ZCT222,dreadnaut,9270,"2020-02-07 22:48:06",quiet
ZCT222,dreadnaut,9581,"2020-02-07 22:51:28",normal
ZCT222,Overdrijf,9270,"2020-02-07 23:32:40",quiet
ZCT222,Duplode,8618,"2020-02-08 03:22:27",quiet
ZCT222,Seeker1982,9260,"2020-02-08 20:59:02",quiet
ZCT223,afullo,11873,"2020-02-09 22:31:25",public
ZCT223,"Stan 286XT",12709,"2020-02-09 22:48:50",public
ZCT223,CTG,9625,"2020-02-09 23:28:53",public
ZCT223,Overdrijf,9291,"2020-02-10 10:28:31",public
ZCT223,Stingray86,11976,"2020-02-10 12:17:50",public
ZCT223,afullo,11786,"2020-02-10 13:20:06",public
ZCT223,"Stan 286XT",11925,"2020-02-10 18:18:41",public
ZCT223,"Stan 286XT",11002,"2020-02-10 18:19:35",public
ZCT223,sd4000,10046,"2020-02-10 19:10:03",public
ZCT223,dreadnaut,9273,"2020-02-10 19:43:18",public
ZCT223,CTG,8610,"2020-02-10 20:16:06",public
ZCT223,Cas,11461,"2020-02-11 00:43:09",public
ZCT223,Duplode,10016,"2020-02-11 01:39:41",public
ZCT223,Stingray86,8951,"2020-02-11 11:23:47",public
ZCT223,Stingray86,9450,"2020-02-11 12:05:51",public
ZCT223,afullo,9668,"2020-02-11 13:55:07",public
ZCT223,sd4000,9668,"2020-02-11 19:49:58",public
ZCT223,Seeker1982,8599,"2020-02-11 21:10:57",public
ZCT223,CTG,8503,"2020-02-11 21:23:13",public
ZCT223,CTG,8168,"2020-02-11 21:39:09",public
ZCT223,Seeker1982,8513,"2020-02-11 21:58:36",public
ZCT223,Seeker1982,8010,"2020-02-12 15:22:01",public
ZCT223,Seeker1982,8325,"2020-02-12 18:27:28",public
ZCT223,Marco,8681,"2020-02-13 18:01:36",public
ZCT223,Marco,8535,"2020-02-13 18:11:58",public
ZCT223,Marco,8490,"2020-02-13 21:34:19",public
ZCT223,Marco,8426,"2020-02-14 12:03:49",public
ZCT223,Marco,8239,"2020-02-14 15:27:03",public
